id,address,pagerank
132632414,bitcoinpubkey_4104A39B9E4FBD213EF24BB9BE69DE4A118DD0644082E47C01FD9159D38637B83FBCDC115A5D6E970586A012D1CFE3E3A8B1A3D04E763BDC5A071C0E827C0BD834A5,196583.9791
708280748,bitcoinaddress_E1BB16A26D591FD766C1B23FAEC067301AFA8A07,117982.0634
23172636,bitcoinaddress_5605C6DC8A9672A014225BAC565DB25BCEC649A2,117386.7911
573011668,bitcoinaddress_06F1B66FFE49DF7FCE684DF16C62F59DC9ADBD3F,96425.2996
418849753,bitcoinaddress_06F1B6703D3F56427BFCFD372F952D50D04B64BD,41916.65177
245577873,bitcoinaddress_0568015A9FACCCFD09D70D409B6FC1A5546CECC6,35014.85782
640169264,bitcoinaddress_06F1B670791F9256BFFC898F474271C22F4BB949,28668.2893
3855264,bitcoinaddress_06F1B66FD59A34755C37A8F701F43E937CDBEB13,22642.22456
318542091,bitcoinaddress_06F1B66F8567C6E527FC89B4D664069D20B09693,20176.47722
112290313,bitcoinaddress_F4B004C3CA2E7F96F9FC5BCA767708967AF67A44,19585.63725
564444711,bitcoinaddress_06F1B66FC9E59A7B4554CF2E6094032CD9EE45C4,16707.30775
86289230,bitcoinaddress_06F1B66F5A691FF3169702D615B77D0AF1451E77,14902.52182
602235110,bitcoinaddress_2DBDE30815FAEE5BF221D6688EBAD7E12F7B2B1A,12987.20497
252963045,bitcoinaddress_F3D2705D4C5572A782ED7D475497BC1CBDE01C5D,11539.85267
443713568,bitcoinaddress_06F1B66FB6C0E253F24C74D3ED972FF447CA285C,10023.06127
557991657,bitcoinaddress_E349BC52C931A910D9876C559383AAEACADAB850,9986.052443
328830484,bitcoinaddress_06F1B66E25393FABD2B23A237E4BDFD4C2C35FAC,9952.609198
406881113,bitcoinaddress_23A183431B08D79EE7D5B3CC39941DCD92CAFED1,9266.865628
81010068,bitcoinaddress_06F1B66F6D8AF8B3E984E5D807C0E1DD69647962,9235.685948
235601933,bitcoinaddress_D47C1C9AFC2A18319E7B78762DC8814727473E90,9198.641987
49400987,bitcoinaddress_9E23A60FDC684030A606961D85774C1EB036F912,9054.44279
754640510,bitcoinaddress_0AED68AF11E39779AAA902B268E385B20BAAD642,8993.853378
741701248,bitcoinaddress_58BA2C4FCEB713679FC54033077932B5507E90E9,8252.175536
708989898,bitcoinaddress_E8E6ACE10F10CE5ED479C7188C9B4061E53AA906,7495.944173
32656153,bitcoinaddress_5C0E4A6830FF6EA9AEA773D75BC207299CD50B74,7431.017452
421581353,bitcoinaddress_06F1B6716309948FA3B07B0A6B66804FDFD68731,7142.553359
832717304,bitcoinaddress_06F1B66EE3B36F02D748C1C6D832246AFAF9A8FE,7027.283916
343062953,bitcoinaddress_166029521C862421DF758F88AD58D5E2F1B9044C,6806.155985
798596246,bitcoinaddress_06F1B66FA14429389CBFFA656966993EAB656F37,6687.453786
285435617,bitcoinaddress_06F1B677D263B7328151F1775B80E83FCA177D1A,6392.525139
734455931,bitcoinaddress_6A469FF8B29803F75B20A4C811674CE27522A110,6237.037514
81731765,bitcoinaddress_EF656B9C3DCB17008C11098DFA9DAD6E415D9DE7,6230.953334
557430083,bitcoinaddress_9C075476F4ECEFFF6BA9CE7DD370778D644C57F2,6224.772944
448375328,bitcoinaddress_06F1B66F715DC431D56C9214C39524AE1BB45C89,6186.193317
701604804,bitcoinaddress_68DD4F11D1F14AB0451AC6BD8B830B3EB4089647,5949.239054
760338052,bitcoinaddress_314F9045678D32FD426AA0332BC1869D459A8673,5649.37658
582499889,bitcoinaddress_10C6363D22BD35581C90EBFD1771A72A05617FF4,5552.06116
625509712,bitcoinaddress_06F1B678F6FBB0D443F8115A0B019E08953810B8,5469.196888
798649092,bitcoinaddress_06F1B66F8ED8946E88CF2D6095B109ED6B88428D,5362.249552
790865581,bitcoinaddress_3A84671FA2C72C14BCEF315D5825CCB7EE69DDFC,5211.251357
188579471,bitcoinaddress_6064B270E1ECD7BD34BD34A095D37D6BD6440CF6,5061.653448
802623266,bitcoinaddress_1F8418F0D44AC97DE751B65B811A8AD95548FA43,5025.563714
821428136,bitcoinaddress_F4292E90070ED385A712790CB83E0BD8E41A48B5,4906.790925
664366115,bitcoinaddress_4B0CD95C47A62748491E6852EC021A755BD8DDB6,4889.393042
483608500,bitcoinaddress_E0DFB08EAB9CB4041C761E5A756F3106F2B68963,4877.834852
477469233,bitcoinaddress_E04D22E13420D48E8EA69AC8B7ABFB229B9D6BF1,4875.368816
661959258,bitcoinaddress_56CB8A65E05868F93D544AA5F29F2BCC7A0DCFC4,4871.886773
521456462,bitcoinaddress_2863DEC8D14702EAB7222067017C7CAA8DFE28B0,4870.104777
877159763,bitcoinaddress_9B5747400701EDC6B602334F8AE2729168DCB1A4,4865.380538
738977906,bitcoinaddress_BA7DE099EAE5CF8EDED556A810DE92FAB3ADBAAD,4864.923014
697640745,bitcoinaddress_1C944C797E974245BD62046E777D7292200345B3,4864.668993
315012252,bitcoinaddress_17B8629C3804FA1E949EDCCB9BCC9B9AEEF37D46,4863.486908
22612623,bitcoinaddress_0C16BF2553A87EC40FB58E5ED39C459E4B9A2418,4855.727208
577682189,bitcoinaddress_C8BF444D872BF6F869C9F0231707765836D13D40,4842.122202
22538978,bitcoinaddress_F67146A444D3C9F0D1FEBF3F1102A7F5E15DE27B,4841.751002
571330855,bitcoinaddress_DD71E46C3F7E8282A3F025D0690C7C88D4F92FEC,4834.262068
394321992,bitcoinaddress_95BD28AC696D354A58ED755EA013623FC808ACE7,4832.13848
472134131,bitcoinaddress_B59E762D0942056A49D95FE46D1E4847203045DD,4825.927609
877485008,bitcoinaddress_D0240FF3ABC07B7780ABACE5850975DC3798A170,4823.750202
584020002,bitcoinaddress_E51A8B00E342FE4DB10CBD5E1BD396A21A3A8E3C,4822.901217
61000522,bitcoinaddress_04D6E850653D23DA32E336785612B6CCC5E34784,4819.343695
307576375,bitcoinaddress_4DE26DDDB88932E7D12BA5F68B829D378A6BDB49,4818.234046
220507859,bitcoinaddress_06F1B66F5EBEBB8210118ADF449B99F2F7B97F16,4813.329373
673547807,bitcoinaddress_5BDEFC72B96D99C399D5EA93DAC81ABF7DEC1ECD,4802.196873
562496661,bitcoinaddress_35B26278680A8EE493744CB43183570568C81FE3,4802.022446
657243614,bitcoinaddress_3329E092CCD1832D262C5052266DED91FC5FA962,4801.148833
14889145,bitcoinaddress_0E6353728432723DC0F857694F5B9851EB0D8648,4800.438349
515889004,bitcoinaddress_3581BF5A77EBBC32E795AD40261FD718D5A0B1A2,4795.860654
387032332,bitcoinaddress_593095596D51F6A97E28529D0658BD04EB161ED1,4791.992244
252609404,bitcoinaddress_34DD167A57E27551F1304F28459CC134C06590F5,4790.177697
86047311,bitcoinaddress_231EAA596EF11E796966FD829350DEFD5C7EDC07,4783.27182
81363806,bitcoinaddress_2AC88FB35BD7C2BC42BAE1F60346CD18A773BAE2,4775.043529
57284192,bitcoinaddress_BB3AE2A5B6CD3CE97A627C70395D2BC52A69DD56,4774.487904
586184757,bitcoinaddress_8CAF2518F5BB3225D95A62037109F18E7F2D322B,4771.361973
239804148,bitcoinaddress_AD4C20D5B1956015EA626F02AFDAEBE8ED17E1A8,4759.586551
834278947,bitcoinaddress_45D906FDC235C3FFB40ACB4831A509E5BAC4092C,4755.152567
697602757,bitcoinaddress_76EA0414B7C8B672C7FC27BD02AA590BB968E36E,4752.730109
122872663,bitcoinaddress_F8792403D21CA8ED44201361E2996E3055B9622C,4740.605071
513202708,bitcoinaddress_E8C753E1D147DC1594F60033239D982E9E373A41,4732.161172
354150780,bitcoinaddress_DFAB45164C45E16F021E083DB1805C97A5D04C8A,4731.262301
282928879,bitcoinaddress_0D2C815E3ACA96576569AA62D5FD06AD1116A5D7,4729.505947
368712246,bitcoinaddress_B4F5B5A9E5119D3F0327D4FF64A1B0A97FC423D9,4726.540662
178237173,bitcoinaddress_B77DFCEB3ED0EA232E4B47AEB3EE3F2179D19384,4726.53794
7376569,bitcoinaddress_19034A421BF9F6A14657F39C806944D3E197D1CF,4708.839314
23610553,bitcoinaddress_74845C644E2BB37137E7B02F1A86A07480431F02,4708.692445
437373814,bitcoinaddress_1D811176562C8291A1C481AF63B9B0460F9539FE,4698.911662
535560627,bitcoinaddress_6999A9826E7F5B90E4F4A3AC5FB6CDFA32D39422,4697.591545
42488674,bitcoinaddress_528A835115E87CEB919CD77AEBA08EB684E62B09,4694.367963
110852747,bitcoinaddress_220AFF37D2665794BFC25DB189633BF7042B650D,4686.318226
142357523,bitcoinaddress_B59CD5A89A456AC7DBCB3A4B54DE1DF958C3D412,4677.708413
313938156,bitcoinaddress_539758E1FC692D5255C1585900ED75736FDB2523,4673.678942
306475655,bitcoinaddress_D106DFB4422C85C916BE6FE2106385B453FAEE69,4673.445097
863841846,bitcoinaddress_C2EA0FCC529F67CF68A20CB0F373ED88482F7D52,4670.77371
448700989,bitcoinaddress_06F1B66EBBC7A866947EE65779B23EDF190D430A,4325.303225
601332433,bitcoinaddress_235547D12C50E79DC364BF4305FD26B2036AE0D1,4206.26288
803280122,bitcoinaddress_740ECAF436D5867903C722D783FC994C25A29B15,4204.909693
346617206,bitcoinaddress_06F1B66E8E95765789598C8A5089F535CFC7C6EF,4200.461031
452789207,bitcoinaddress_72A5702EFB2431ABEFAC89AB68A80C4D1D460F23,3998.458864
337477295,bitcoinaddress_23507572D6DB4000E2E6701D92CCC6691E484B61,3989.451154
43638346,bitcoinaddress_ABA8AA7512494ADBEC830AEF907873A19F4F759E,3973.891969
